year	dist_travelled	dist_travelled_sc	nber_vehicles	nber_vehicles_sc	regist_vehicles	regist_vehicles_sc	unregist_vehicles	unregist_vehicles_sc	crashes	crashes_sc	fatal_crashes	fatal_crashes_sc	casualities	casualities_sc	persons_killed	persons_killed_sc	population_SA	population_SA_sc	driver_licence	driver_licence_sc
1935	14331898180	-1.185395148	10654039.67	0.174457673	284216	-1.05852508	716486.2349	-0.075515963	31759	-1.093786071	719	-1.381284817	13532	-1.151673813	897	-1.317226383	14152067.31	-0.924387936	8871059.533	0.096843493
1936	16929927210	-1.129160479	11151631.6	0.606181472	307923	-1.051726478	762122.2201	0.381847432	39276	-1.065759632	890	-1.336134443	15421	-1.124479578	1015	-1.292044862	12218938.96	-1.058683546	9240058.421	0.418313862
1937	16091979060	-1.147297973	11660091.44	1.047334554	331630	-1.044927876	755220.0127	0.312673577	45947	-1.040887426	1041	-1.296264815	16756	-1.105260784	1046	-1.285429378	10641829.36	-1.168246315	9443157.972	0.595253387
1938	10367061290	-1.271214547	11274015.49	0.712364942	355337	-1.038129274	724974.2172	0.009550512	43868	-1.048638785	994	-1.308674567	17528	-1.094146994	1074	-1.279454101	11400026.3	-1.115573909	9326743.375	0.493833451
1939	12563438910	-1.223673674	11763802.51	1.137316996	379044	-1.031330672	787108.5751	0.632260435	43205	-1.051110719	912	-1.330325623	15835	-1.118519593	969	-1.301861387	10650165.47	-1.1676672	9786844.085	0.894671367
1940	10695120030	-1.264113674	11321461.12	0.753530014	402757	-1.024530349	755903.4496	0.319522975	36655	-1.075531788	842	-1.348808232	13723	-1.148924158	910	-1.314452148	12441494.61	-1.043222468	9338001.981	0.503641904
1941	20150306380	-1.059454961	11444093.34	0.859928942	398953	-1.025621245	757179.8851	0.332315399	34423	-1.083853593	907	-1.33164581	13227	-1.156064624	956	-1.304635623	11904965.73	-1.080495458	9441230.876	0.593574508
1942	16703979430	-1.134051147	11262593.86	0.702455237	395547	-1.026598005	760194.0486	0.362523316	27170	-1.110895733	640	-1.402143762	10700	-1.192443571	673	-1.365028594	13137395.56	-0.994877804	9407672.067	0.564338207
1943	16801264110	-1.131945408	11746080.84	1.121941211	392142	-1.027574478	799000.3602	0.751439789	22404	-1.128665323	636	-1.403199911	9322	-1.212281398	672	-1.365241996	11894982.83	-1.081188976	9760420.991	0.871651672
1944	24694877790	-0.961087134	11950708.15	1.299481227	388732	-1.028552384	789704.1313	0.658273074	20810	-1.134608405	482	-1.443861651	8015	-1.231097102	508	-1.400240043	11550127.99	-1.105146253	9918555.713	1.009418015
1945	23382128060	-0.989501769	10848960.72	0.343576285	383735	-1.029985405	759932.7579	0.359904663	23522	-1.124496964	564	-1.422210594	8878	-1.218673267	595	-1.381674006	14221922.73	-0.919535038	9430554.948	0.584273682
1946	22731575060	-1.003583072	11629680.4	1.020949139	434246	-1.015500055	766898.1302	0.429711556	39405	-1.065278667	771	-1.367554879	13952	-1.145627451	815	-1.334725407	11688808.48	-1.095512034	9577425.25	0.712226507
1947	19331487270	-1.077178405	10946737.27	0.428409782	484758	-1.001014419	718987.4095	-0.050449216	47421	-1.035391753	876	-1.339830965	16613	-1.107319426	944	-1.307196455	13735678.55	-0.953314718	9193449.516	0.377708369
1948	26765554340	-0.916267077	11535817.67	0.939511374	535269	-0.986529069	774879.3123	0.509698884	54369	-1.009486778	908	-1.331381772	17519	-1.094276559	964	-1.302928401	12255375.96	-1.056152245	9583505.88	0.717523928
1949	14914754210	-1.172779155	11440177.23	0.856531222	585781	-0.972043432	780016.7331	0.561186065	56398	-1.001921839	908	-1.331381772	18267	-1.083508275	983	-1.298873749	12676073.9	-1.026926102	9685610.352	0.80647694
1950	10842000000	-1.260934438	12118030.74	1.444654691	636292	-0.957558083	819779.1342	0.959684457	51966	-1.018446141	886	-1.337190592	17497	-1.094593273	952	-1.305489234	11360000	-1.118354561	10112442.31	1.178331251
1951	12605000000	-1.222774079	11869541.76	1.22905914	661812	-0.950239556	790113.4767	0.66237553	55633	-1.004774071	1029	-1.299433262	18753	-1.07651177	1116	-1.270491187	11700000	-1.094734553	9770709.012	0.880614555
1952	13212000000	-1.209635487	11759177.65	1.133304346	688744	-0.9425161	787979.6104	0.640989943	58443	-0.994297246	987	-1.310522828	19234	-1.069587246	1065	-1.281374726	12380000	-1.047494537	9805461.381	0.910890681
1953	14058000000	-1.191323709	11570357.28	0.969478845	727350	-0.931444821	766020.8289	0.420919251	59320	-0.991027432	1126	-1.273821647	19124	-1.071170817	1195	-1.253632372	12770000	-1.020400998	9630915.857	0.758827312
1954	15386000000	-1.16257898	11286031.93	0.72279072	755759	-0.923297797	752735.1224	0.287770031	70181	-0.950533198	1422	-1.195666614	23917	-1.002170305	1596	-1.168057879	13430000	-0.974550394	9353675.141	0.517296299
1955	17288000000	-1.121409947	11121161.07	0.579744442	809396	-0.907915985	745645.6486	0.216719394	77479	-0.923323281	1669	-1.130449408	26378	-0.966741501	1876	-1.108305117	13810000	-0.948151562	9160345.96	0.348868682
1956	18620000000	-1.092578638	11088130.63	0.551086366	870250	-0.89046451	752668.9241	0.287106592	80263	-0.912943394	1721	-1.11671947	27492	-0.950704244	1896	-1.104037062	14160000	-0.923836848	9168711.819	0.356156985
1957	19247000000	-1.079007143	10963727.84	0.443151245	961545	-0.864283282	736497.5359	0.125037099	93500	-0.863590464	2069	-1.024834499	32620	-0.876881039	2260	-1.026358471	14760000	-0.88215448	9109711.454	0.304756101
1958	20354000000	-1.055045987	10802482.53	0.303250589	1049221	-0.839139897	721625.0749	-0.024014559	101895	-0.832290483	2363	-0.947207541	36448	-0.821772765	2633	-0.946759255	15220000	-0.850197999	8913422.519	0.133749958
1959	20462000000	-1.052708313	10674737.65	0.192415783	1134014	-0.814823288	720293.7256	-0.037357329	108321	-0.808331737	2521	-0.905489652	38673	-0.78974144	2842	-0.902158085	15830000	-0.807820926	8797702.713	0.032935322
1960	21184000000	-1.037080531	10588098.07	0.117245013	1236570	-0.785412674	717571.1107	-0.064643348	116688	-0.777136151	2755	-0.84370493	42416	-0.735856834	3051	-0.857556916	16260000	-0.777948563	8748076.579	-0.010298769
1961	25830000000	-0.936517269	10331336.6	-0.105527967	1106851	-0.822612988	701437.5229	-0.226334007	114789	-0.784216397	2989	-0.781920208	42537	-0.734114906	3306	-0.803139221	16490000	-0.761970322	8558125.538	-0.175783364
1962	27388000000	-0.902794161	10182049.27	-0.235053567	1161412	-0.806966195	681275.8431	-0.428394163	110482	-0.800274648	3280	-0.705085362	41266	-0.75241235	3591	-0.742319445	16700000	-0.747381494	8368054.836	-0.341372207
1963	28429000000	-0.880261583	10061335.16	-0.339788292	1288068	-0.770644276	672550.5986	-0.515838478	121296	-0.759955649	3947	-0.528972501	45180	-0.696066012	4394	-0.570957058	17000000	-0.72654031	8184566.92	-0.501226152
